om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
0,2017,6,25,2017-06-25,05:04:00,9,OK,40,0,3,0,0,0,0,43.280028728130894,-85.20125038434259,0,0,1,1,1,1,1,0,0,0,0,0
1,2017,2,20,2017-02-20,13:31:00,9,OK,40,0,1,0,0,0,0,37.97419182579498,-85.90670692783416,0,0,1,1,1,1,1,0,0,0,0,0
2,2014,7,12,2014-07-12,09:22:00,9,OK,40,0,2,0,0,0,0,37.99868039834992,-80.63576457337517,0,0,1,1,1,1,1,0,0,0,0,0
3,2018,12,9,2018-12-09,04:00:00,9,OK,40,0,0,0,0,0,0,28.5825396859879,-94.09385355328372,0,0,1,1,1,1,1,0,0,0,0,0
4,2023,7,3,2023-07-03,22:37:00,3,OK,40,0,2,0,0,0,0,44.974951821042026,-85.89386454441475,0,0,1,1,1,1,1,0,0,0,0,0
5,2023,4,22,2023-04-22,13:31:00,3,OK,40,0,2,0,0,0,0,30.23679195522441,-92.68647333748163,0,0,1,1,1,1,1,0,0,0,0,0
6,2012,10,30,2012-10-30,21:15:00,3,OK,40,0,1,0,0,0,0,40.585902342737064,-92.09178558162716,0,0,1,1,1,1,1,0,0,0,0,0
7,2021,12,22,2021-12-22,17:19:00,9,OK,40,0,2,0,0,0,0,41.95725831711325,-95.38810726682557,0,0,1,1,1,1,1,0,0,0,0,0
8,2019,7,1,2019-07-01,03:15:00,3,OK,40,0,0,0,0,0,0,34.341926998188455,-93.11979648698292,0,0,1,1,1,1,1,0,0,0,0,0
9,2011,12,7,2011-12-07,13:51:00,3,OK,40,0,0,0,0,0,0,31.346484929310336,-81.03406496683473,0,0,1,1,1,1,1,0,0,0,0,0
10,2017,2,12,2017-02-12,19:57:00,3,OK,40,0,4,0,0,0,0,29.678918075439434,-94.14858306104799,0,0,1,1,1,1,1,0,0,0,0,0
11,2015,11,6,2015-11-06,08:12:00,9,OK,40,0,0,0,0,0,0,40.726302099102824,-95.08018788086827,0,0,1,1,1,1,1,0,0,0,0,0
12,2016,2,1,2016-02-01,21:45:00,3,OK,40,0,4,0,0,0,0,35.695109996496825,-88.33724043052356,0,0,1,1,1,1,1,0,0,0,0,0
13,2017,12,7,2017-12-07,13:10:00,3,OK,40,0,-9,0,0,0,0,40.133201903019305,-94.83928086516491,0,0,1,1,1,1,1,0,0,0,0,0
14,2014,8,29,2014-08-29,05:52:00,3,OK,40,0,2,0,0,0,0,43.56193003048061,-90.5322854881141,0,0,1,1,1,1,1,0,0,0,0,0
15,2011,6,22,2011-06-22,22:41:00,9,OK,40,0,2,0,0,0,0,30.491923514567965,-83.31647486887526,0,0,1,1,1,1,1,0,0,0,0,0
16,2017,12,3,2017-12-03,16:16:00,3,OK,40,0,3,0,0,0,0,43.625907012304594,-95.3919937138565,0,0,1,1,1,1,1,0,0,0,0,0
17,2015,12,4,2015-12-04,14:06:00,9,OK,40,0,1,0,0,0,0,34.99764981164343,-91.4661717563216,0,0,1,1,1,1,1,0,0,0,0,0
18,2023,11,21,2023-11-21,23:21:00,9,OK,40,0,-9,0,0,0,0,33.189539168253916,-87.79020529959936,0,0,1,1,1,1,1,0,0,0,0,0
19,2023,4,14,2023-04-14,05:30:00,3,OK,40,0,4,0,0,0,0,44.03205843024725,-89.0874215085303,0,0,1,1,1,1,1,0,0,0,0,0
20,2015,8,9,2015-08-09,01:03:00,9,OK,40,0,2,0,0,0,0,44.84107877430879,-80.50553525169525,0,0,1,1,1,1,1,0,0,0,0,0
21,2015,2,15,2015-02-15,05:16:00,3,OK,40,0,0,0,0,0,0,31.381167702046618,-86.3925949120961,0,0,1,1,1,1,1,0,0,0,0,0
22,2016,11,1,2016-11-01,06:00:00,9,OK,40,0,-9,0,0,0,0,39.16625189818372,-85.2010751590312,0,0,1,1,1,1,1,0,0,0,0,0
23,2010,4,10,2010-04-10,12:01:00,3,OK,40,0,-9,0,0,0,0,29.810420334108027,-80.66088104066533,0,0,1,1,1,1,1,0,0,0,0,0
24,2015,7,2,2015-07-02,10:50:00,3,OK,40,0,4,0,0,0,0,39.0655380655776,-91.71123949542958,0,0,1,1,1,1,1,0,0,0,0,0
25,2012,1,26,2012-01-26,22:32:00,9,OK,40,0,0,0,0,0,0,42.064324872189445,-92.89240369877898,0,0,1,1,1,1,1,0,0,0,0,0
26,2012,3,8,2012-03-08,14:43:00,3,OK,40,0,3,0,0,0,0,39.63647529090915,-99.12275140467234,0,0,1,1,1,1,1,0,0,0,0,0
27,2011,10,22,2011-10-22,08:59:00,9,OK,40,0,4,0,0,0,0,35.094663415064126,-96.31591386962346,0,0,1,1,1,1,1,0,0,0,0,0
28,2018,10,25,2018-10-25,07:18:00,3,OK,40,0,2,0,0,0,0,34.51212811258408,-95.25620735896648,0,0,1,1,1,1,1,0,0,0,0,0
29,2011,2,28,2011-02-28,13:18:00,9,OK,40,0,1,0,0,0,0,34.68308105879809,-96.32991065857323,0,0,1,1,1,1,1,0,0,0,0,0
30,2019,2,20,2019-02-20,05:57:00,9,OK,40,0,3,0,0,0,0,38.0251009058797,-84.90432213606871,0,0,1,1,1,1,1,0,0,0,0,0
31,2017,7,8,2017-07-08,15:22:00,9,OK,40,0,1,0,0,0,0,42.98664359123242,-89.28234037447777,0,0,1,1,1,1,1,0,0,0,0,0
32,2022,12,19,2022-12-19,10:15:00,9,OK,40,0,4,0,0,0,0,43.79412467356905,-86.64732397083066,0,0,1,1,1,1,1,0,0,0,0,0
33,2011,6,29,2011-06-29,03:15:00,9,OK,40,0,1,0,0,0,0,28.910003543524407,-83.59075678321253,0,0,1,1,1,1,1,0,0,0,0,0
34,2011,12,16,2011-12-16,10:28:00,3,OK,40,0,2,0,0,0,0,31.087580708976702,-95.3845211742821,0,0,1,1,1,1,1,0,0,0,0,0
35,2016,4,11,2016-04-11,18:07:00,3,OK,40,0,-9,0,0,0,0,29.907813369080905,-93.48152120357001,0,0,1,1,1,1,1,0,0,0,0,0
36,2010,6,1,2010-06-01,03:27:00,9,OK,40,0,0,0,0,0,0,31.28668889303754,-85.83279465926806,0,0,1,1,1,1,1,0,0,0,0,0
37,2017,6,16,2017-06-16,14:24:00,3,OK,40,0,1,0,0,0,0,33.89233278035592,-92.14482108191055,0,0,1,1,1,1,1,0,0,0,0,0
38,2019,9,2,2019-09-02,18:57:00,3,OK,40,0,3,0,0,0,0,36.61103860458461,-99.41458119797912,0,0,1,1,1,1,1,0,0,0,0,0
39,2018,1,9,2018-01-09,05:58:00,9,OK,40,0,2,0,0,0,0,38.70084085915559,-91.30089561946244,0,0,1,1,1,1,1,0,0,0,0,0
40,2013,4,22,2013-04-22,04:24:00,9,OK,40,0,2,0,0,0,0,40.44641772537493,-81.83453827169171,0,0,1,1,1,1,1,0,0,0,0,0
41,2012,3,13,2012-03-13,17:12:00,9,OK,40,0,4,0,0,0,0,43.13189620355872,-91.8195697681425,0,0,1,1,1,1,1,0,0,0,0,0
42,2015,12,17,2015-12-17,05:13:00,9,OK,40,0,3,0,0,0,0,44.81450343290644,-93.35502167114507,0,0,1,1,1,1,1,0,0,0,0,0
43,2015,12,17,2015-12-17,03:18:00,3,OK,40,0,1,0,0,0,0,39.268560135471034,-80.20949834109946,0,0,1,1,1,1,1,0,0,0,0,0
44,2015,5,11,2015-05-11,05:14:00,3,OK,40,0,1,0,0,0,0,42.37119681735197,-87.11168871525973,0,0,1,1,1,1,1,0,0,0,0,0
45,2019,12,2,2019-12-02,08:14:00,9,OK,40,0,1,0,0,0,0,41.22666039771988,-92.68003947057639,0,0,1,1,1,1,1,0,0,0,0,0
46,2019,10,1,2019-10-01,04:20:00,3,OK,40,0,3,0,0,0,0,33.228044666718105,-97.95960937272385,0,0,1,1,1,1,1,0,0,0,0,0
47,2012,1,27,2012-01-27,17:07:00,3,OK,40,0,1,0,0,0,0,42.88676859399369,-84.24301110107157,0,0,1,1,1,1,1,0,0,0,0,0
48,2021,12,18,2021-12-18,23:55:00,9,OK,40,0,3,0,0,0,0,28.72697334511258,-85.83850133024485,0,0,1,1,1,1,1,0,0,0,0,0
49,2022,4,12,2022-04-12,01:44:00,3,OK,40,0,2,0,0,0,0,28.006244843774784,-81.5616840150287,0,0,1,1,1,1,1,0,0,0,0,0
50,2014,6,30,2014-06-30,18:43:00,3,OK,40,0,3,0,0,0,0,32.65345469960389,-95.65448739943983,0,0,1,1,1,1,1,0,0,0,0,0
51,2018,7,12,2018-07-12,01:53:00,9,OK,40,0,0,0,0,0,0,35.85565800366665,-97.70151300023537,0,0,1,1,1,1,1,0,0,0,0,0
52,2023,8,25,2023-08-25,14:27:00,3,OK,40,0,-9,0,0,0,0,38.852169215011514,-85.51854947181873,0,0,1,1,1,1,1,0,0,0,0,0
53,2021,12,2,2021-12-02,17:44:00,3,OK,40,0,-9,0,0,0,0,29.73009453125726,-95.93208316002608,0,0,1,1,1,1,1,0,0,0,0,0
54,2021,2,23,2021-02-23,07:15:00,3,OK,40,0,0,0,0,0,0,39.44117227519228,-96.47792324421007,0,0,1,1,1,1,1,0,0,0,0,0
55,2020,12,23,2020-12-23,21:23:00,9,OK,40,0,3,0,0,0,0,41.63086974001481,-93.60385329207855,0,0,1,1,1,1,1,0,0,0,0,0
56,2015,10,7,2015-10-07,11:11:00,9,OK,40,0,4,0,0,0,0,31.150319632849236,-83.66349717043124,0,0,1,1,1,1,1,0,0,0,0,0
57,2020,10,17,2020-10-17,14:13:00,3,OK,40,0,-9,0,0,0,0,35.0571293321405,-89.20926789780738,0,0,1,1,1,1,1,0,0,0,0,0
58,2018,9,27,2018-09-27,16:29:00,9,OK,40,0,0,0,0,0,0,36.83974482920627,-99.08299289795438,0,0,1,1,1,1,1,0,0,0,0,0
59,2011,3,7,2011-03-07,20:31:00,3,OK,40,0,4,0,0,0,0,35.68071930743617,-90.72210650681366,0,0,1,1,1,1,1,0,0,0,0,0
60,2021,6,19,2021-06-19,01:46:00,9,OK,40,0,1,0,0,0,0,41.597108825104,-86.32040777267049,0,0,1,1,1,1,1,0,0,0,0,0
61,2016,9,12,2016-09-12,17:18:00,3,OK,40,0,0,0,0,0,0,44.328880768028625,-89.23263123061969,0,0,1,1,1,1,1,0,0,0,0,0
62,2017,4,13,2017-04-13,12:04:00,9,OK,40,0,-9,0,0,0,0,41.58220378813906,-88.55099563686888,0,0,1,1,1,1,1,0,0,0,0,0
63,2014,5,9,2014-05-09,22:28:00,3,OK,40,0,3,0,0,0,0,29.32587790388902,-95.5044534321467,0,0,1,1,1,1,1,0,0,0,0,0
64,2018,2,4,2018-02-04,14:01:00,3,OK,40,0,3,0,0,0,0,41.683904726705165,-83.04521336809304,0,0,1,1,1,1,1,0,0,0,0,0
65,2017,5,5,2017-05-05,22:49:00,9,OK,40,0,3,0,0,0,0,29.13213764800437,-88.77202564817752,0,0,1,1,1,1,1,0,0,0,0,0
66,2021,6,12,2021-06-12,00:49:00,3,OK,40,0,-9,0,0,0,0,32.01149654910669,-85.73507973918646,0,0,1,1,1,1,1,0,0,0,0,0
67,2016,3,1,2016-03-01,02:23:00,3,OK,40,0,1,0,0,0,0,30.602647246207287,-80.36271565973395,0,0,1,1,1,1,1,0,0,0,0,0
68,2022,2,7,2022-02-07,19:57:00,9,OK,40,0,3,0,0,0,0,31.357824816383452,-91.43602684650935,0,0,1,1,1,1,1,0,0,0,0,0
69,2023,5,3,2023-05-03,23:16:00,9,OK,40,0,4,0,0,0,0,36.98135715997496,-82.37866774646983,0,0,1,1,1,1,1,0,0,0,0,0
70,2012,12,7,2012-12-07,14:41:00,3,OK,40,0,2,0,0,0,0,39.41872757938451,-99.8543797211775,0,0,1,1,1,1,1,0,0,0,0,0
71,2022,12,19,2022-12-19,18:26:00,3,OK,40,0,1,0,0,0,0,35.9954617997127,-99.3318541476976,0,0,1,1,1,1,1,0,0,0,0,0
