om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
0,2023,4,8,2023-04-08,05:40:00,9,OK,40,0,2.5,0,0,0,0,43.45901275696173,-87.15789561892782,0,0,1,1,1,1,1,0,0,0,0,0
1,2022,3,27,2022-03-27,19:17:00,9,OK,40,0,0.75,0,0,0,0,33.899858659670464,-97.75837614299594,0,0,1,1,1,1,1,0,0,0,0,0
2,2017,4,5,2017-04-05,00:39:00,9,OK,40,0,3.0,0,0,0,0,38.75500812405755,-94.49424429218868,0,0,1,1,1,1,1,0,0,0,0,0
3,2018,11,23,2018-11-23,17:09:00,9,OK,40,0,1.25,0,0,0,0,30.99093978368584,-89.24498044944484,0,0,1,1,1,1,1,0,0,0,0,0
4,2022,10,24,2022-10-24,23:43:00,3,OK,40,0,3.0,0,0,0,0,41.42591041924629,-82.38462228193004,0,0,1,1,1,1,1,0,0,0,0,0
5,2014,4,12,2014-04-12,14:26:00,9,OK,40,0,3.0,0,0,0,0,42.98107809388701,-90.31720543618678,0,0,1,1,1,1,1,0,0,0,0,0
6,2014,2,12,2014-02-12,20:20:00,3,OK,40,0,1.25,0,0,0,0,33.41742998708599,-88.14583511852962,0,0,1,1,1,1,1,0,0,0,0,0
7,2019,7,3,2019-07-03,04:57:00,3,OK,40,0,1.0,0,0,0,0,39.10043873220719,-98.88927129248667,0,0,1,1,1,1,1,0,0,0,0,0
8,2017,10,6,2017-10-06,04:04:00,9,OK,40,0,1.5,0,0,0,0,42.89910086415537,-80.70692014329856,0,0,1,1,1,1,1,0,0,0,0,0
9,2018,7,9,2018-07-09,12:42:00,9,OK,40,0,1.0,0,0,0,0,28.26137340624586,-90.15145554485339,0,0,1,1,1,1,1,0,0,0,0,0
10,2023,10,1,2023-10-01,12:02:00,9,OK,40,0,2.5,0,0,0,0,42.54749945535583,-96.79459142591647,0,0,1,1,1,1,1,0,0,0,0,0
11,2020,9,22,2020-09-22,04:52:00,3,OK,40,0,3.0,0,0,0,0,37.72594385092493,-93.22058055291814,0,0,1,1,1,1,1,0,0,0,0,0
12,2010,2,10,2010-02-10,15:39:00,9,OK,40,0,1.0,0,0,0,0,35.03826154117757,-89.73385320188194,0,0,1,1,1,1,1,0,0,0,0,0
13,2018,10,7,2018-10-07,05:19:00,9,OK,40,0,1.25,0,0,0,0,36.88446939642877,-97.22971381886677,0,0,1,1,1,1,1,0,0,0,0,0
14,2012,5,7,2012-05-07,22:52:00,9,OK,40,0,1.0,0,0,0,0,42.009054137053866,-96.0670635095089,0,0,1,1,1,1,1,0,0,0,0,0
15,2012,3,9,2012-03-09,13:07:00,3,OK,40,0,1.0,0,0,0,0,40.2762023423505,-81.68206190549051,0,0,1,1,1,1,1,0,0,0,0,0
16,2013,12,20,2013-12-20,20:31:00,9,OK,40,0,2.0,0,0,0,0,36.52150246159824,-82.54894819656023,0,0,1,1,1,1,1,0,0,0,0,0
17,2017,12,6,2017-12-06,20:32:00,3,OK,40,0,1.0,0,0,0,0,36.29008954093617,-97.55395784131763,0,0,1,1,1,1,1,0,0,0,0,0
18,2013,11,5,2013-11-05,07:04:00,9,OK,40,0,3.0,0,0,0,0,43.287381115821525,-94.42004189194866,0,0,1,1,1,1,1,0,0,0,0,0
19,2017,11,18,2017-11-18,14:52:00,9,OK,40,0,2.0,0,0,0,0,31.949817461261333,-87.2883131659418,0,0,1,1,1,1,1,0,0,0,0,0
20,2020,9,20,2020-09-20,23:27:00,9,OK,40,0,0.75,0,0,0,0,29.626928828755375,-94.80492704537278,0,0,1,1,1,1,1,0,0,0,0,0
21,2019,9,12,2019-09-12,20:24:00,3,OK,40,0,1.5,0,0,0,0,39.536848017822344,-99.95832242472841,0,0,1,1,1,1,1,0,0,0,0,0
22,2021,2,8,2021-02-08,05:42:00,3,OK,40,0,1.0,0,0,0,0,39.937599107497995,-85.97570866754357,0,0,1,1,1,1,1,0,0,0,0,0
23,2013,8,10,2013-08-10,07:55:00,9,OK,40,0,3.0,0,0,0,0,37.6625624559563,-96.13842852473167,0,0,1,1,1,1,1,0,0,0,0,0
24,2020,4,6,2020-04-06,04:08:00,9,OK,40,0,2.0,0,0,0,0,32.463121266328656,-93.50088913349151,0,0,1,1,1,1,1,0,0,0,0,0
25,2011,11,4,2011-11-04,15:44:00,3,OK,40,0,2.5,0,0,0,0,33.031202026881026,-94.32127128979064,0,0,1,1,1,1,1,0,0,0,0,0
26,2012,1,24,2012-01-24,09:53:00,3,OK,40,0,2.5,0,0,0,0,38.48973489064902,-96.95261604194816,0,0,1,1,1,1,1,0,0,0,0,0
27,2012,2,7,2012-02-07,05:26:00,3,OK,40,0,2.0,0,0,0,0,32.64029181991655,-97.28629790072863,0,0,1,1,1,1,1,0,0,0,0,0
28,2018,2,8,2018-02-08,01:38:00,9,OK,40,0,3.0,0,0,0,0,36.49356061081599,-97.10173009471319,0,0,1,1,1,1,1,0,0,0,0,0
29,2019,7,24,2019-07-24,20:27:00,3,OK,40,0,2.5,0,0,0,0,33.64526394803798,-80.65016629385325,0,0,1,1,1,1,1,0,0,0,0,0
30,2022,4,11,2022-04-11,00:34:00,9,OK,40,0,2.5,0,0,0,0,36.67744899428904,-85.4629823336542,0,0,1,1,1,1,1,0,0,0,0,0
31,2011,2,26,2011-02-26,01:43:00,9,OK,40,0,1.0,0,0,0,0,31.899186294720387,-81.19849243258732,0,0,1,1,1,1,1,0,0,0,0,0
32,2019,7,29,2019-07-29,19:12:00,3,OK,40,0,1.25,0,0,0,0,31.367028131359813,-88.56920139352225,0,0,1,1,1,1,1,0,0,0,0,0
33,2019,9,26,2019-09-26,09:47:00,9,OK,40,0,1.25,0,0,0,0,40.47797177681946,-93.37982481678117,0,0,1,1,1,1,1,0,0,0,0,0
34,2022,8,17,2022-08-17,02:08:00,3,OK,40,0,1.0,0,0,0,0,34.55736813512691,-96.72146299703721,0,0,1,1,1,1,1,0,0,0,0,0
35,2022,8,25,2022-08-25,16:40:00,3,OK,40,0,1.0,0,0,0,0,31.953625249800147,-90.33287409084332,0,0,1,1,1,1,1,0,0,0,0,0
36,2013,2,8,2013-02-08,23:56:00,3,OK,40,0,1.25,0,0,0,0,42.593146825196726,-90.13202979175065,0,0,1,1,1,1,1,0,0,0,0,0
37,2019,10,23,2019-10-23,18:45:00,3,OK,40,0,1.0,0,0,0,0,34.828908100843336,-84.45060346119848,0,0,1,1,1,1,1,0,0,0,0,0
38,2015,5,14,2015-05-14,10:32:00,3,OK,40,0,1.0,0,0,0,0,29.96979280942931,-89.43121032944074,0,0,1,1,1,1,1,0,0,0,0,0
39,2017,9,17,2017-09-17,16:00:00,3,OK,40,0,1.25,0,0,0,0,40.03681538537439,-96.10299307442953,0,0,1,1,1,1,1,0,0,0,0,0
40,2022,10,7,2022-10-07,17:47:00,3,OK,40,0,2.0,0,0,0,0,32.75952381710897,-83.71618594431186,0,0,1,1,1,1,1,0,0,0,0,0
41,2015,2,23,2015-02-23,08:17:00,9,OK,40,0,0.75,0,0,0,0,37.6091181711037,-97.0416797190432,0,0,1,1,1,1,1,0,0,0,0,0
42,2011,12,13,2011-12-13,17:12:00,9,OK,40,0,1.0,0,0,0,0,38.60278168445671,-89.42171978397498,0,0,1,1,1,1,1,0,0,0,0,0
43,2014,9,20,2014-09-20,17:16:00,9,OK,40,0,1.25,0,0,0,0,44.36376430856265,-99.15061604587089,0,0,1,1,1,1,1,0,0,0,0,0
44,2019,4,17,2019-04-17,05:53:00,9,OK,40,0,2.5,0,0,0,0,31.248720410457842,-92.61638111801541,0,0,1,1,1,1,1,0,0,0,0,0
45,2011,4,28,2011-04-28,09:56:00,9,OK,40,0,1.0,0,0,0,0,32.83092497359575,-86.56253657357854,0,0,1,1,1,1,1,0,0,0,0,0
46,2020,1,14,2020-01-14,06:11:00,9,OK,40,0,1.0,0,0,0,0,43.84773714533145,-97.22582983786931,0,0,1,1,1,1,1,0,0,0,0,0
47,2011,10,26,2011-10-26,12:15:00,9,OK,40,0,2.0,0,0,0,0,40.210979407338016,-89.50240015743196,0,0,1,1,1,1,1,0,0,0,0,0
48,2018,2,27,2018-02-27,06:28:00,9,OK,40,0,0.75,0,0,0,0,35.638626948578604,-89.22321662308316,0,0,1,1,1,1,1,0,0,0,0,0
49,2012,7,18,2012-07-18,15:51:00,9,OK,40,0,1.0,0,0,0,0,40.491147752897916,-81.81289775071443,0,0,1,1,1,1,1,0,0,0,0,0
50,2012,6,21,2012-06-21,01:00:00,9,OK,40,0,3.0,0,0,0,0,35.02754709456376,-90.66741252600158,0,0,1,1,1,1,1,0,0,0,0,0
51,2015,9,4,2015-09-04,14:46:00,9,OK,40,0,0.75,0,0,0,0,34.97087586344263,-98.4329823150138,0,0,1,1,1,1,1,0,0,0,0,0
52,2022,6,4,2022-06-04,05:28:00,9,OK,40,0,3.0,0,0,0,0,30.659084821809934,-97.0812541217375,0,0,1,1,1,1,1,0,0,0,0,0
53,2010,12,25,2010-12-25,09:36:00,3,OK,40,0,1.25,0,0,0,0,36.87482019207731,-94.48782719740161,0,0,1,1,1,1,1,0,0,0,0,0
54,2022,6,20,2022-06-20,05:18:00,3,OK,40,0,1.25,0,0,0,0,32.465295041145474,-84.02091964882268,0,0,1,1,1,1,1,0,0,0,0,0
55,2011,10,27,2011-10-27,06:17:00,3,OK,40,0,2.5,0,0,0,0,38.771088411206094,-94.89783342865233,0,0,1,1,1,1,1,0,0,0,0,0
56,2014,10,24,2014-10-24,11:25:00,9,OK,40,0,1.5,0,0,0,0,34.7763051082692,-87.81141416437596,0,0,1,1,1,1,1,0,0,0,0,0
57,2014,3,22,2014-03-22,16:40:00,9,OK,40,0,2.0,0,0,0,0,42.513257556398074,-98.43236620596123,0,0,1,1,1,1,1,0,0,0,0,0
58,2018,3,12,2018-03-12,19:25:00,9,OK,40,0,1.25,0,0,0,0,41.1131640492189,-95.95709160827091,0,0,1,1,1,1,1,0,0,0,0,0
59,2018,2,17,2018-02-17,23:04:00,9,OK,40,0,2.5,0,0,0,0,30.514864964290506,-87.6171434837325,0,0,1,1,1,1,1,0,0,0,0,0
60,2016,3,4,2016-03-04,18:10:00,3,OK,40,0,1.0,0,0,0,0,38.04856337415546,-98.03722492340765,0,0,1,1,1,1,1,0,0,0,0,0
61,2018,8,12,2018-08-12,16:33:00,3,OK,40,0,1.0,0,0,0,0,40.133590548224674,-85.68914819649063,0,0,1,1,1,1,1,0,0,0,0,0
62,2019,10,8,2019-10-08,09:22:00,3,OK,40,0,3.0,0,0,0,0,36.74549549736703,-91.01799594856496,0,0,1,1,1,1,1,0,0,0,0,0
63,2010,1,29,2010-01-29,10:33:00,3,OK,40,0,1.25,0,0,0,0,29.937103793844095,-94.40849497228317,0,0,1,1,1,1,1,0,0,0,0,0
64,2013,11,24,2013-11-24,09:46:00,9,OK,40,0,1.5,0,0,0,0,36.5552057001069,-82.52199495470691,0,0,1,1,1,1,1,0,0,0,0,0
65,2023,2,24,2023-02-24,09:18:00,9,OK,40,0,2.5,0,0,0,0,35.35928282415706,-86.53683706163304,0,0,1,1,1,1,1,0,0,0,0,0
66,2018,7,6,2018-07-06,07:35:00,9,OK,40,0,2.0,0,0,0,0,33.5378254117692,-98.71631235291764,0,0,1,1,1,1,1,0,0,0,0,0
67,2011,10,10,2011-10-10,23:48:00,3,OK,40,0,2.5,0,0,0,0,37.903104716284496,-86.59604724215619,0,0,1,1,1,1,1,0,0,0,0,0
68,2021,4,30,2021-04-30,22:20:00,3,OK,40,0,3.0,0,0,0,0,33.522829660789895,-96.03241526817907,0,0,1,1,1,1,1,0,0,0,0,0
69,2017,10,15,2017-10-15,10:05:00,9,OK,40,0,1.5,0,0,0,0,32.00446367908994,-81.59482174872616,0,0,1,1,1,1,1,0,0,0,0,0
70,2022,4,6,2022-04-06,11:58:00,9,OK,40,0,0.75,0,0,0,0,40.51032168153448,-96.92536021069417,0,0,1,1,1,1,1,0,0,0,0,0
71,2010,7,2,2010-07-02,07:35:00,9,OK,40,0,2.0,0,0,0,0,31.62730736350322,-87.66620887391701,0,0,1,1,1,1,1,0,0,0,0,0
72,2015,1,19,2015-01-19,00:47:00,9,OK,40,0,2.0,0,0,0,0,41.68990034234122,-95.15186991686029,0,0,1,1,1,1,1,0,0,0,0,0
73,2013,12,10,2013-12-10,22:13:00,3,OK,40,0,1.0,0,0,0,0,44.645737105712456,-81.15667035909685,0,0,1,1,1,1,1,0,0,0,0,0
74,2021,6,14,2021-06-14,00:40:00,9,OK,40,0,2.0,0,0,0,0,35.501058179703705,-93.51065608945845,0,0,1,1,1,1,1,0,0,0,0,0
75,2018,6,23,2018-06-23,02:39:00,3,OK,40,0,2.0,0,0,0,0,41.810670561861734,-88.20726873831593,0,0,1,1,1,1,1,0,0,0,0,0
76,2023,7,4,2023-07-04,22:30:00,3,OK,40,0,3.0,0,0,0,0,30.86225138262692,-97.40981247427614,0,0,1,1,1,1,1,0,0,0,0,0
77,2017,3,9,2017-03-09,15:11:00,9,OK,40,0,1.0,0,0,0,0,41.55415953741366,-90.41255888482944,0,0,1,1,1,1,1,0,0,0,0,0
